id,name,space_category,sub_space_category,product_type,detail_material,material_tag,style,furniture_color,description,tags
product1,Misu Coffee Table,Indoor,Living Room,Coffee Table,"MFC Warm Grey, Steel Legs, Black Powder Coat Finish","Wood, Metal",Minimalism,"Warm Grey
leg: Black ","The simple and minimalist MISU coffee table is a blend of modern design with a warm, rustic appeal that fits perfectly in the living room. Placed in the middle of the living room to highlight the wood finish, this piece is perfect for small to medium living rooms.",indoor living room coffee table wood metal minimalism
product2,Misu Side Table,Indoor,Living Room,Coffee Table,"MFC Sonoma Oak, Steel Legs, Black Powder Coat Finish","Wood, Metal",Minimalism,"Light Beige
leg: Black","MISU's simple and minimalist side table blends modern design with warm, rustic appeal and fits perfectly in any living room. This table is perfect for small to medium living rooms with the flexibility of varying lengths. Finished with Aida Walnut, pair with a fabric sofa for maximum results.",indoor living room coffee table wood metal minimalism
product3,Hans Rounded Coffe Table,Indoor,Living Room,Coffee Table,"MFC Sonoma Oak, Steel Legs, Black Powder Coat Finish","Wood, Metal",Minimalism,"Light Beige
leg: Black","The simple and minimalist HANS coffee table is a blend of modern design with a warm, rustic appeal that fits perfectly in any living room. Placed against a clean white wall in the living room to highlight the wood finish, this piece is perfect for small to medium living rooms with the flexibility of varying lengths. Finished with Sonoma Oak, the design matches the console table, TV table, bedside table and fabric sofa.",indoor living room coffee table wood metal minimalism
product4,Hans Coffee Table,Indoor,Living Room,Coffee Table,"MFC Sonoma Oak, Steel Legs, Black Powder Coat Finish","Wood, Metal",Minimalism,"Light Beige
leg: Black","The simple and minimalist HANS coffee table is a blend of modern design with a warm, rustic appeal that fits perfectly in any living room. Placed against a clean white wall in the living room to highlight the wood finish, this piece is perfect for small to medium living rooms with the flexibility of varying lengths. Finished with Sonoma Oak, the design matches the console table, TV table, bedside table and fabric sofa.",indoor living room coffee table wood metal minimalism
product5,Stacco Coffee Table,Indoor,Living Room,Coffee Table,"Grey blue marble top, Steel Leg, Black Powder Coat Finish","Stone, Metal",Minimalism,"Grey Blue
leg: Black","The Stacco coffee table set is more than just a space saver, it has strong, durable properties with a marble stone top. The minimal nature of the Stacco coffee table set allows it to fit into any living space – from industrial to contemporary home.",indoor living room coffee table stone metal minimalism
product6,Bolda Coffee Table,Indoor,Living Room,Coffee Table,"Top with white marble, Steel leg (laminated with Natural American Walnut Veneer)","Stone, Metal, Wood",Minimalism,"White
leg: Natural American Walnut","The beauty of wood with the strength of metal combines in BOLDA. This marble stone table top has a base that showcases our latest production methods; the frame and legs are covered with walnut wood bonded with metal. Apart from its simplicity, the quality of the marble coffee table in BOLDA gray is also very strong because it is stain and scratch resistant, making it easy to care for and durable. The BOLDA marble coffee table in gray one makes a perfect coffee table, and the other is great as a sofa end table.",indoor living room coffee table stone metal wood minimalism
product7,Assam Trolley with Glass Tray,Indoor,Living Room,Coffee Table,"Bronze glass top, Steel frame, Black powder coat, Aluminium casting rim, Rubber tyres","Glass, Metal, Leather, Rubber",Modern,Black,"An edgy steel frame with a touch of sophistication and luxury accompanied by a bronze glass tray is the Assam tea trolley. More than just a trolley for food or tea, the Assam tea trolley also serves as a storage area. The possibilities with the Assam tea trolley are up to own exploration.",indoor living room coffee table glass metal leather rubber modern
product8,Kay Coffee Table,Indoor,Living Room,Coffee Table,"White marble top, Steel leg (brown powder coat finish)","Stone, Metal",Minimalism,"White
leg: Dark Brown","A simple and sleek coffee table, the Kay marble coffee table comes with slanted and tapered legs that fit perfectly in any modern Scandinavian home. Apart from its simplicity, the quality of the Kay marble coffee table has the advantage of being scratch and stain resistant, so it is easy to care for and lasts a long time. The Kay marble coffee table comes in 3 sizes – one makes a perfect coffee table, and the other is great as a sofa end table.",indoor living room coffee table stone metal minimalism
product9,Chester Cowhide Bench,Indoor,Living Room,Pouf,"Full leather upholstery, Wood Veneer (leg)","Leather, Wood",Minimalism,"Dark Brown, Mocha, Cinnamon, Chalky","CHESTER, this bench covered in 100% genuine cowhide takes up little space and adds a touch of luxury while enlivening the room.",indoor living room pouf leather wood minimalism
product10,Arca Ottomon Stool,Indoor,Living Room,Stool,"Full fabric upholstery, Steel (leg)","Fabric, Metal",Minimalism,"Pink, Charcoal, Cocoa
leg: Bronze","ARCA, a beautiful and functional bench that can be used in the decoration of countless rooms, either to complement or give more life to the living room.",indoor living room stool fabric metal minimalism
product11,Dol Stool,Indoor,Living Room,Stool,"Synthetic Leather Upholstery, Steel (leg)","Leather, Wood",Minimalism,"Dark Brown, Black
leg: Black","The simple design of the DOL dressing table bench, the curves on the table and bench legs make it look less stiff, lots of storage space in the black gloss acrylic front drawer.",indoor living room stool leather wood minimalism
product12,Dol Dresser,Indoor,Living Room,Dresser,"Carcass in MFC
Face drawer in acrylic black
Top table & tray box in American walnut wood
Leg in Stainless Steel","Wood, Acrylic",Minimalism,"Midnight Black
Top Table: Natural American Walnut
Leg black","The simple design of the DOL dressing table, the curves on the table and stool legs make it look less stiff, lots of storage space in the black gloss acrylic front drawer.",indoor living room dresser wood acrylic minimalism
product13,Alba Dresser,Indoor,Living Room,Dresser,Solid Sungkai timber covered with Oak Veneer,Wood,Minimalism,Natural,"The Alba Dressing Table is carefully designed and crafted using solid wood and covered in a light colored finish. This dressing table is stylish, strong and durable. With its simple design, this dressing table makes the perfect addition to a powder room or bedroom, creating a calm and peaceful atmosphere to start the day fresh. The spacious table top, drawers and compartments provide ample space to keep all beauty supplies and other accessories organized and easy to reach.
",indoor living room dresser wood minimalism
product14,Wing Sofa,Indoor,Living Room,Armchair,"Taper steel leg finishing, dark brown powder coat
Fabric Upholstery","Metal, Fabric",Minimalism,"Brown, Teal, Sand, Grey, Palm
Leg: Dark Brown",Named for its winged backrest. WING is very beautiful and elegant for an addition to any home. The pointed iron legs and nozag-shaped seat are a simple sculptural combination. WING is very suitable for your simple but still beautiful decoration.,indoor living room armchair metal fabric minimalism
product15,Cozy Cove Sofa,Indoor,Living Room,Sofa,Full Fabric Upholstery,Fabric,Classic,Dark Gray,This Cozy Cove Sofa is the right choice for those of you who want to add an elegant and classic touch to your room. This sofa is made of high quality materials and is comfortable to sit and relax on. The classic and timeless design will always look fashionable.,indoor living room sofa fabric classic
product16,Club Sofa Synthetic,Indoor,Living Room,Sofa,Synthetic leather Upholstery,Leather,Minimalism,"Black, Dark Brown, Smoke Gray, Dairy Cream","Club Sofa Synthetic is a chair that can rotate, and has luxurious and elegant arms. Upholstered in synthetic leather, also available in genuine cowhide.",indoor living room sofa leather minimalism
product17,Abstract Coffee Table,Indoor,Living Room,Coffee Table,"Mahogany Wood (top), Stainless Steel (leg)","Wood, Metal",Industrial,"Dark Charcoal (top), Wenge (leg)","This furniture is designed for indoor use, particularly in the living room. It serves as a stylish coffee table made of high-quality materials. The table features a mahogany wood top supported by stainless steel legs, combining durability with modern aesthetics. Its design embodies an industrial style, characterized by its sleek lines and contrasting colors. The top is finished in dark charcoal, complemented by wenge-colored legs, adding a touch of sophistication to any living space",indoor living room coffee table wood metal industrial
product18,Koppang Chest of 6 Drawers,Indoor,"Bedroom, Living Room",Drawer,Fiberboard covered with Paper Foil,"Wood, Acrylic",Modern,Shadow Gray and White,"A simple, functional chest of drawers that goes with any decor, in a bedroom or wherever to place it. There’s room for both your favourite clothes and extra bedding. This furniture shall be anchored to the wall with the enclosed safety fitting to prevent it from tipping over.",indoor bedroom living room drawer wood acrylic modern
product19,Faye Scandinavian Coffee Table,Indoor,Living Room,Coffee Table,"PB, MDF, Solid wood",Wood,Scandinavian,White,This Faye Scandinavian Coffee Table is the right choice for those of you who are looking for functional and stylish furniture. This table is made of high quality materials and will last a long time. This table also has an attractive design and will add to the beauty of your room.,indoor living room coffee table wood scandinavian
product20,Wardrobe Sliding Door,Indoor,Bedroom,Wardrobe,")Particle Board, Stainless Steel (handle)",Wood,Scandinavian,"White, Double Spanish White","Wardrobe Sliding Door White is a wardrobe that is useful for storing clothes, including shirts, trousers, jackets and others so that they are organized. This cupboard is very suitable to be placed in the bedroom. Designed with 2 doors and 4 drawers that can be closed and locked, so you can store your items well. Made from PB board material which is commonly used to make furniture. The material is strong and durable, so it can store items well.",indoor bedroom wardrobe wood scandinavian
product21,Buffet Shelf Cupboard,Indoor,"Bedroom, Living Room",Drawer,"Mahogany MDF, Stainless Steel (handle)",Wood,Scandinavian,"White Natural, Burlywood (top), Eerie Black (handle)","Scandinavian buffet shelf cabinets are made from mahogany, MDF and Mindi wood, giving a sturdy and durable impression. The minimalist and modern design with a Scandinavian touch gives a neat and elegant impression to the room. This wardrobe has 6 spacious storage drawers. The wooden legs are sturdy and the design is modern and minimalist. This cupboard is suitable for various rooms such as the living room, dining room or family room.",indoor bedroom living room drawer wood scandinavian
